date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:34	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2019%20Apr%202024%2010:20:34%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475.eot?	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-ced611daf7709cc778da928fec876475d41d.eot	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:35	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:35%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:36	1380/1380	---M--	200	added ('OK')	font/woff	date:Fri,%2019%20Apr%202024%2010:20:36%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-b7c9e1e479de3b53f1e4e30ebac2403a.woff	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:37	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:37%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:39	1892/1892	---M--	200	added ('OK')	font/ttf	date:Fri,%2019%20Apr%202024%2010:20:38%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-d41f55a78e6f49a5512878df1737e58a.ttf	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:39	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:39%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:42	2152/2152	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2019%20Apr%202024%2010:20:41%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/slick-f97e3bbf73254b0112091d0192f17aec.svg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:45	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:20:43%20GMT	http://bodhi-space-j5vd.b12sites.com/window.location	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/window.location	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:45	924722/924722	---M--	200	added ('OK')	image/gif	etag:%22ee11d4e98c86809bcbe0fdf3533e9a8b%22	https://cdn.b12.io/client_media/vHEtyVtR/086a4a04-fc7f-11ee-a177-0242ac110002-Bodhi_Space_Studio_Logo.gif	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/086a4a04-fc7f-11ee-a177-0242ac110002-Bodhi_Space_Studio_Logo.gif	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:46	979/979	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Apr%202024%2010:20:46%20GMT	https://bodhi-space-j5vd.b12sites.com/window.location	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/window.2d.delayed	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:48	547490/547490	---M--	200	added ('OK')	image/jpeg	etag:%224bf441c77d05338706f4d28305de14ca%22	https://cdn.b12.io/client_media/vHEtyVtR/f946b928-fc82-11ee-a369-0242ac110002-jpg-hero_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/f946b928-fc82-11ee-a369-0242ac110002-jpg-hero_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:48	105863/105863	---M--	200	added ('OK')	image/jpeg	etag:%22854a775e71a357e38215df98c78b642a%22	https://cdn.b12.io/client_media/vHEtyVtR/c6a77d2e-fc80-11ee-a369-0242ac110002-13-hero_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/c6a77d2e-fc80-11ee-a369-0242ac110002-13-hero_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:49	117618/117618	---M--	200	added ('OK')	image/jpeg	etag:%220b389041405f5cc23c2c9f92823b2b2d%22	https://cdn.b12.io/client_media/vHEtyVtR/c6ae29b2-fc80-11ee-a177-0242ac110002-13-hero_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/c6ae29b2-fc80-11ee-a177-0242ac110002-13-hero_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:50	86514/86514	---M--	200	added ('OK')	image/jpeg	etag:%22a10f89c37c244e10e2ffebbb74925959%22	https://cdn.b12.io/client_media/vHEtyVtR/c680a852-fc80-11ee-a7eb-0242ac110002-13-hero_image.jpeg	/home/sage/websites/bodhispace/cdn.b12.io/client_media/vHEtyVtR/c680a852-fc80-11ee-a7eb-0242ac110002-13-hero_image.jpg	(from https://bodhi-space-j5vd.b12sites.com/index)
